ID,Name,Type,Level,Rarity,Auto Tier,Base Power,Balanced Attack,Balanced Defense,Auto Value,Auto Weight,Durability,Max Durability,Damage Type,Armor Type,Special Effect,Description,Power Score
190,Light Circlet,Armor,23,Common,Tier 3,2.2,0,18,460,6.3,162,180,,Medium,Fire Resist 10%,Never dulls,18
191,Demon Pike,Weapon,7,Common,Tier 1,1,10,0,35,2.2,85,131,Piercing,,Soul Eater,Marked with runes,10
192,Spectral Club of the Slayer,Weapon,9,Common,Tier 1,1,10,0,45,2.4,98,138,Bludgeoning,,Splash Damage,Fitted for comfort,10
193,Blessed Mace of Chaos,Weapon,32,Epic,Tier 4,3,48,0,12800,10.4,398,504,Piercing,,Double Strike 5%,Forged by skilled hands,76.8
194,Light Sword,Weapon,29,Common,Tier 3,2.2,22,0,580,6.2,184,216,Piercing,,Bleed Damage,Forged by skilled hands,22
195,Shadow Club of Ice,Weapon,33,Uncommon,Tier 4,3,35,0,2640,8.6,296,310,Slashing,,Soul Eater,Surprisingly sturdy,40.3
196,Flame Morning Star of Glory,Weapon,18,Rare,Tier 2,1.5,20,0,810,4.8,187,276,Slashing,,+20 Fire Damage,Perfectly balanced,27
197,Godslayer,Weapon,46,Legendary,Tier 5,4,80,0,86250,16.6,456,615,Slashing,,+20 Ice Damage,Crafted by master artisans,160
198,Arcane Warhammer of Light,Weapon,7,Common,Tier 1,1,10,0,35,2.2,108,116,Bludgeoning,,+10 Ice Damage,A reliable piece of equipment,10
199,Enchanted Breastplate,Armor,9,Common,Tier 1,1,0,8,45,2.7,89,110,,Light,Cannot be Disarmed,Marked with runes,8
200,Toxic Rod of Destruction,Weapon,32,Uncommon,Tier 4,3,35,0,2560,8.5,250,303,Slashing,,Knockback,Whispers of ancient magic,40.3
201,Ethereal Scepter of Strength,Weapon,3,Uncommon,Tier 1,1,12,0,30,2.1,122,147,Bludgeoning,,Ignore Dodge,Battle-tested and true,13.8
202,Royal Leggings of Resistance,Armor,41,Epic,Tier 5,4,0,51,30750,16,503,508,,Light,,Imbued with magical energy,81.6
203,Cursed Morning Star,Weapon,30,Rare,Tier 3,2.2,30,0,2700,7.5,241,330,Piercing,,+15 Lightning Damage,Crafted by master artisans,40.5
204,Enchanted Dirk,Weapon,17,Rare,Tier 2,1.5,20,0,765,4.7,248,259,Slashing,,+10 Fire Damage,Imbued with magical energy,27
205,Silver Greatsword,Weapon,35,Common,Tier 4,3,30,0,1400,8,237,264,Slashing,,+15 Lightning Damage,Simple but effective,30
206,Worn Breastplate of Stone,Armor,17,Rare,Tier 2,1.5,0,16,765,5.4,167,252,,Light,+10 Mana,Masterwork quality,21.6
207,Arcane Shortsword of Shadows,Weapon,9,Uncommon,Tier 1,1,12,0,90,2.7,151,180,Piercing,,Ignore Dodge,Shows signs of age,13.8
208,Arcane Staff of Glory,Weapon,34,Rare,Tier 4,3,41,0,6120,9.6,242,372,Bludgeoning,,Lifesteal 5%,Forged by skilled hands,55.4
209,Dragon Scale Pants of Bravery,Armor,12,Common,Tier 2,1.5,0,12,120,4,111,135,,Light,Poison Resist 25%,Worn by many warriors,12
210,Holy Shortbow of Might,Weapon,46,Epic,Tier 5,4,64,0,34500,14.2,390,487,Slashing,,Critical +20%,Battle-tested and true,102.4
211,Dark Greaves,Armor,7,Uncommon,Tier 1,1,0,9,70,2.8,158,161,,Light,Magic Resist 15%,Rumored to be cursed,10.4
212,Phantom Bow,Weapon,15,Uncommon,Tier 2,1.5,17,0,300,4.1,161,181,Piercing,,+10 Ice Damage,Forged in dragon fire,19.6
213,Dragon Scale Circlet,Armor,31,Uncommon,Tier 4,3,0,28,2480,9.5,258,258,,Heavy,Ice Resist 50%,Imbued with magical energy,32.2
214,Frost Lance of Death,Weapon,19,Uncommon,Tier 2,1.5,17,0,380,4.5,141,233,Bludgeoning,,,Crafted by master artisans,19.6
215,Light Vambraces,Armor,28,Common,Tier 3,2.2,0,18,560,6.7,161,221,,Light,Immune to Stun,One of a kind,18
216,Shadow Knife of the Phoenix,Weapon,18,Uncommon,Tier 2,1.5,17,0,360,4.4,122,204,Piercing,,+5 Fire Damage,Glows with inner light,19.6
217,Golden Katana,Weapon,36,Rare,Tier 4,3,41,0,6480,9.8,269,379,Piercing,,+15 Fire Damage,Found in ancient ruins,55.4
218,Ethereal Cleaver,Weapon,43,Rare,Tier 5,4,54,0,14513,12.4,382,459,Slashing,,Critical +15%,Rumored to be cursed,72.9
219,Arcane Shortbow,Weapon,32,Uncommon,Tier 4,3,35,0,2560,8.5,263,271,Slashing,,Critical +10%,Worn by many warriors,40.3
220,Cursed Bow of Eternity,Weapon,46,Epic,Tier 5,4,64,0,34500,14.2,532,552,Piercing,,Knockback,Worn by many warriors,102.4
221,Mythril Warhammer,Weapon,36,Common,Tier 4,3,30,0,1440,8.1,186,268,Slashing,,+10 Lightning Damage,Crafted with care,30
222,Ancient Scimitar,Weapon,39,Common,Tier 4,3,30,0,1560,8.4,214,277,Piercing,,,Marked with runes,30
223,Blessed Dirk of Power,Weapon,21,Common,Tier 3,2.2,22,0,420,5.4,115,164,Piercing,,Cannot be Blocked,Battle-tested and true,22
224,Studded Vest of Protection,Armor,8,Uncommon,Tier 1,1,0,9,80,2.9,143,176,,Light,+25 Mana,Fitted for comfort,10.4
225,Holy Hatchet of Protection,Weapon,12,Uncommon,Tier 2,1.5,17,0,240,3.8,144,190,Piercing,,,Shows signs of age,19.6
226,Obsidian Dagger,Weapon,20,Common,Tier 2,1.5,15,0,200,4.3,132,176,Piercing,,Vampiric,Recovered from a great battle,15
227,Royal Circlet of Bravery,Armor,50,Epic,Tier 5,4,0,51,37500,16.8,487,577,,Medium,+50 Health,Surprisingly lightweight,81.6
228,Golden Rod,Weapon,37,Rare,Tier 4,3,41,0,6660,9.9,323,390,Piercing,,+50 Mana on Kill,A reliable piece of equipment,55.4
229,Supreme Mail,Armor,40,Legendary,Tier 4,3,0,48,40000,15.2,421,574,,Light,Poison Resist 50%,Battle-tested and true,96
230,Mythril Knife,Weapon,8,Common,Tier 1,1,10,0,40,2.3,98,109,Bludgeoning,,Soul Eater,Whispers of ancient magic,10
231,Crystal Helm of the Defender,Armor,42,Epic,Tier 5,4,0,51,31500,16.1,387,544,,Medium,Fire Resist 10%,Decorated with jewels,81.6
232,Celestial Longsword,Weapon,6,Rare,Tier 1,1,14,0,135,2.7,163,248,Bludgeoning,,Splash Damage,Found in ancient ruins,18.9
233,Spectral Sword of the Gods,Weapon,18,Common,Tier 2,1.5,15,0,180,4.1,106,153,Piercing,,+5 Poison Damage,Surprisingly lightweight,15
234,Plate Kite Shield,Armor,40,Common,Tier 4,3,0,24,1600,9.2,225,273,,Light,Mana Regen +10,Surprisingly sturdy,24
235,Light Hatchet,Weapon,8,Common,Tier 1,1,10,0,40,2.3,126,138,Slashing,,Critical +15%,Never dulls,10
236,Flame Axe,Weapon,49,Rare,Tier 5,4,54,0,16538,13,412,446,Slashing,,+20 Ice Damage,Battle-tested and true,72.9
237,Crystal Spear of Eternity,Weapon,8,Uncommon,Tier 1,1,12,0,80,2.6,172,181,Bludgeoning,,Soul Eater,Decorated with jewels,13.8
238,Chain Robe of the Protector,Armor,28,Common,Tier 3,2.2,0,18,560,6.7,212,235,,Medium,+2 All Stats,Glows with inner light,18
239,Shadow Staff,Weapon,36,Uncommon,Tier 4,3,35,0,2880,8.9,214,293,Slashing,,Extra Damage vs Dragons,Simple but effective,40.3
240,Elven Trident of the Dragon,Weapon,6,Uncommon,Tier 1,1,12,0,60,2.4,134,167,Slashing,,+15 Fire Damage,Imbued with magical energy,13.8
241,Golden Greatsword,Weapon,13,Common,Tier 2,1.5,15,0,130,3.6,136,137,Bludgeoning,,Attack Speed +5%,Perfectly balanced,15
242,Cursed Longbow of Might,Weapon,44,Common,Tier 5,4,40,0,3300,10.4,230,320,Piercing,,Armor Penetration +10%,A reliable piece of equipment,40
243,Soulrender,Weapon,50,Legendary,Tier 5,4,80,0,93750,17,565,635,Piercing,,Stun Chance 10%,Fitted for comfort,160
244,Ethereal Hatchet,Weapon,3,Uncommon,Tier 1,1,12,0,30,2.1,136,141,Bludgeoning,,Bleed Damage,Found in ancient ruins,13.8
245,Elven Leggings,Armor,21,Common,Tier 3,2.2,0,18,420,6.2,123,167,,Medium,Dodge +5%,One of a kind,18
246,Flame Cleaver of Life,Weapon,8,Uncommon,Tier 1,1,12,0,80,2.6,97,142,Piercing,,Ignore Dodge,Fitted for comfort,13.8
247,Toxic Longbow of Fire,Weapon,45,Rare,Tier 5,4,54,0,15188,12.6,267,404,Piercing,,Armor Penetration +15%,One of a kind,72.9
248,Light Mail,Armor,43,Common,Tier 5,4,0,32,3225,11.4,210,284,,Medium,+1 All Stats,Holds mysterious power,32
249,Enchanted Flail of Light,Weapon,5,Rare,Tier 1,1,14,0,113,2.6,202,222,Bludgeoning,,Splash Damage,Glows with inner light,18.9
250,Holy Staff,Weapon,28,Uncommon,Tier 3,2.2,25,0,1120,6.6,194,278,Slashing,,Cannot be Blocked,Forged by skilled hands,28.8
251,Flame Hatchet,Weapon,8,Uncommon,Tier 1,1,12,0,80,2.6,170,178,Piercing,,+15 Lightning Damage,Recently reforged,13.8
252,Infinity,Weapon,49,Legendary,Tier 5,4,80,0,91875,16.9,675,787,Piercing,,Splash Damage,Masterwork quality,160
253,Godslayer,Weapon,48,Legendary,Tier 5,4,80,0,90000,16.8,473,775,Piercing,,+15 Lightning Damage,Rumored to be cursed,160
254,Spectral Shortbow,Weapon,5,Common,Tier 1,1,10,0,25,2,76,86,Bludgeoning,,+10 Lightning Damage,Rumored to be cursed,10
255,Dark Shortbow of Death,Weapon,37,Rare,Tier 4,3,41,0,6660,9.9,300,434,Bludgeoning,,Cannot be Blocked,Crafted by master artisans,55.4
256,Steel Morning Star,Weapon,37,Uncommon,Tier 4,3,35,0,2960,9,230,315,Slashing,,+10 Fire Damage,Shows signs of age,40.3
257,Royal Cape,Armor,15,Rare,Tier 2,1.5,0,16,675,5.2,187,249,,Light,Aura: +5 Defense to Allies,Surprisingly sturdy,21.6
258,Hide Helm,Armor,8,Rare,Tier 1,1,0,11,180,3.4,219,246,,Medium,+1 All Stats,Holds mysterious power,14.9
259,Dragon Cleaver of the Gods,Weapon,49,Epic,Tier 5,4,64,0,36750,14.5,396,575,Slashing,,+5 Poison Damage,Marked with runes,102.4
260,Apocalypse,Weapon,43,Legendary,Tier 5,4,80,0,80625,16.3,572,640,Bludgeoning,,Critical +20%,Crafted with care,160
261,Silver Dirk of Order,Weapon,24,Uncommon,Tier 3,2.2,25,0,960,6.2,192,253,Piercing,,+5 Fire Damage,Decorated with jewels,28.8
262,Obsidian Cleaver of Light,Weapon,22,Legendary,Tier 3,2.2,44,0,11000,8.8,454,505,Bludgeoning,,Ignore Dodge,Shows signs of age,88
263,Crystal Crossbow,Weapon,4,Uncommon,Tier 1,1,12,0,40,2.2,76,126,Piercing,,+5 Fire Damage,Crafted by master artisans,13.8
264,Worn Kite Shield of the Paladin,Armor,14,Common,Tier 2,1.5,0,12,140,4.1,95,147,,Light,Lightning Resist 25%,Masterwork quality,12
265,Phantom Wand,Weapon,5,Uncommon,Tier 1,1,12,0,50,2.3,83,132,Piercing,,Bleed Damage,One of a kind,13.8
266,Dark Scimitar of the Gods,Weapon,7,Common,Tier 1,1,10,0,35,2.2,95,122,Bludgeoning,,+10 Poison Damage,Worn by many warriors,10
267,Obsidian Staff,Weapon,8,Common,Tier 1,1,10,0,40,2.3,83,107,Piercing,,+10 Poison Damage,Bears a royal crest,10
268,Dwarven Vambraces of the Knight,Armor,41,Rare,Tier 5,4,0,43,13838,14,337,426,,Medium,+25 Health,Forged by skilled hands,58.1
269,Celestial Longbow,Weapon,49,Rare,Tier 5,4,54,0,16538,13,422,453,Slashing,,Soul Eater,Rumored to be cursed,72.9
270,Toxic Sword of the Storm,Weapon,15,Uncommon,Tier 2,1.5,17,0,300,4.1,174,205,Slashing,,,Surprisingly lightweight,19.6
271,Ancient Dirk,Weapon,28,Common,Tier 3,2.2,22,0,560,6.1,134,204,Slashing,,Double Strike 5%,A reliable piece of equipment,22
272,Arcane Crossbow of Valor,Weapon,37,Rare,Tier 4,3,41,0,6660,9.9,376,391,Piercing,,+5 Lightning Damage,Crafted with care,55.4
273,Chain Crown,Armor,34,Uncommon,Tier 4,3,0,28,2720,9.7,272,277,,Light,Health Regen +5,Imbued with magical energy,32.2
274,Holy Axe of Fire,Weapon,43,Uncommon,Tier 5,4,46,0,6450,11.2,306,323,Bludgeoning,,Ignore Dodge,Rumored to be cursed,52.9
275,Steel Bow,Weapon,10,Common,Tier 1,1,10,0,50,2.5,74,105,Bludgeoning,,+10 Fire Damage,Battle-tested and true,10
276,Void Spear,Weapon,22,Common,Tier 3,2.2,22,0,440,5.5,131,171,Slashing,,Critical +20%,Rumored to be cursed,22
277,Crystal Kite Shield,Armor,3,Common,Tier 1,1,0,8,15,2.2,57,71,,Light,,Surprisingly sturdy,8
278,Demon Hide Mantle of Resistance,Armor,24,Epic,Tier 3,2.2,0,28,4800,8.9,309,465,,Heavy,Cannot be Disarmed,Forged in dragon fire,44.8
279,Demon War Axe,Weapon,30,Uncommon,Tier 3,2.2,25,0,1200,6.8,204,292,Slashing,,Critical +20%,Once wielded by a hero,28.8
280,Flame Knife,Weapon,6,Common,Tier 1,1,10,0,30,2.1,52,88,Piercing,,Bleed Damage,Fitted for comfort,10
281,Holy Rapier,Weapon,16,Uncommon,Tier 2,1.5,17,0,320,4.2,145,190,Slashing,,+15 Fire Damage,Simple but effective,19.6
282,Ancient Halberd,Weapon,6,Uncommon,Tier 1,1,12,0,60,2.4,167,176,Bludgeoning,,Extra Damage vs Dragons,A reliable piece of equipment,13.8
283,Mythril War Axe,Weapon,35,Uncommon,Tier 4,3,35,0,2800,8.8,266,294,Slashing,,Double Strike 5%,Forged by skilled hands,40.3
284,Frost Dagger,Weapon,30,Common,Tier 3,2.2,22,0,600,6.3,164,201,Piercing,,Lifesteal 5%,Glows with inner light,22
285,Shadow Gloves,Armor,23,Common,Tier 3,2.2,0,18,460,6.3,179,200,,Light,Reflect 10%,Whispers of ancient magic,18
286,Golden Staff,Weapon,35,Rare,Tier 4,3,41,0,6300,9.7,276,393,Slashing,,Double Strike 5%,Decorated with jewels,55.4
287,Orcish Helm,Armor,29,Rare,Tier 3,2.2,0,24,2610,8.3,367,374,,Medium,Health Regen +5,Holds mysterious power,32.4
288,Cursed Shortsword of Chaos,Weapon,5,Rare,Tier 1,1,14,0,113,2.6,144,182,Slashing,,+10 Poison Damage,Once wielded by a hero,18.9
289,Imperial Vest,Armor,3,Common,Tier 1,1,0,8,15,2.2,52,83,,Medium,+2 All Stats,Glows with inner light,8
290,Arcane Vest of Defense,Armor,37,Uncommon,Tier 4,3,0,28,2960,10,233,301,,Heavy,Reflect 10%,Recently reforged,32.2
291,Holy Pike of Shadows,Weapon,50,Common,Tier 5,4,40,0,3750,11,224,347,Bludgeoning,,Attack Speed +10%,Found in ancient ruins,40
292,Worn Cape,Armor,36,Rare,Tier 4,3,0,32,6480,10.9,345,351,,Light,Magic Resist 25%,Surprisingly lightweight,43.2
293,Light Helm,Armor,21,Common,Tier 3,2.2,0,18,420,6.2,120,193,,Medium,Reflect 10%,Recovered from a great battle,18
294,Plate Shield,Armor,18,Uncommon,Tier 2,1.5,0,14,360,4.9,142,196,,Heavy,Ice Resist 25%,Surprisingly lightweight,16.1
295,Celestial Staff of Chaos,Weapon,20,Legendary,Tier 2,1.5,30,0,5000,6.5,313,502,Slashing,,+10 Ice Damage,One of a kind,60
296,Cursed Wand,Weapon,45,Rare,Tier 5,4,54,0,15188,12.6,352,437,Piercing,,Soul Eater,Imbued with magical energy,72.9
297,Holy Crossbow,Weapon,6,Uncommon,Tier 1,1,12,0,60,2.4,165,168,Slashing,,+20 Ice Damage,Surprisingly lightweight,13.8
298,Spectral Pike of Eternity,Weapon,50,Epic,Tier 5,4,64,0,37500,14.6,524,570,Piercing,,Ignore Dodge,Blessed by the gods,102.4
299,Holy Bow,Weapon,3,Common,Tier 1,1,10,0,15,1.8,65,74,Bludgeoning,,Critical +10%,Worn by many warriors,10
300,Dwarven Chestplate,Armor,50,Uncommon,Tier 5,4,0,37,7500,13.3,339,397,,Light,,Shows signs of age,42.6
301,Dwarven Leggings,Armor,3,Rare,Tier 1,1,0,11,68,3,209,221,,Light,Fire Resist 50%,Once wielded by a hero,14.9
302,Mythril Trident,Weapon,12,Uncommon,Tier 2,1.5,17,0,240,3.8,123,172,Piercing,,+15 Ice Damage,Blessed by the gods,19.6
303,Elven Knife of Shadows,Weapon,17,Common,Tier 2,1.5,15,0,170,4,153,179,Piercing,,Attack Speed +5%,Simple but effective,15
304,Obsidian Battleaxe,Weapon,34,Uncommon,Tier 4,3,35,0,2720,8.7,194,281,Piercing,,Critical +10%,Glows with inner light,40.3
305,Ethereal Knife,Weapon,43,Common,Tier 5,4,40,0,3225,10.3,219,278,Bludgeoning,,Armor Penetration +10%,One of a kind,40
306,Shadow Katana of the Mage,Weapon,39,Uncommon,Tier 4,3,35,0,3120,9.2,232,328,Slashing,,+10 Lightning Damage,Simple but effective,40.3
307,Silver Morning Star of the Mage,Weapon,3,Uncommon,Tier 1,1,12,0,30,2.1,99,119,Slashing,,+15 Ice Damage,Shows signs of age,13.8
308,Arcane Rod of Power,Weapon,44,Common,Tier 5,4,40,0,3300,10.4,234,276,Bludgeoning,,Vampiric,Simple but effective,40
309,Holy Bow,Weapon,19,Uncommon,Tier 2,1.5,17,0,380,4.5,146,219,Bludgeoning,,+5 Ice Damage,Battle-tested and true,19.6
310,Dragon Longsword of the Ancients,Weapon,22,Uncommon,Tier 3,2.2,25,0,880,6,220,232,Piercing,,Double Strike 5%,Imbued with magical energy,28.8
311,Phantom Katana of the Gods,Weapon,30,Rare,Tier 3,2.2,30,0,2700,7.5,234,305,Piercing,,+5 Fire Damage,Masterwork quality,40.5
312,Steel Stiletto of the Void,Weapon,7,Rare,Tier 1,1,14,0,158,2.8,143,230,Bludgeoning,,+10 Poison Damage,Surprisingly sturdy,18.9
313,Ancient Dirk of the Slayer,Weapon,8,Legendary,Tier 1,1,20,0,1000,3.8,315,499,Piercing,,+10 Ice Damage,Crafted by master artisans,40
314,Blessed Cleaver of Speed,Weapon,45,Rare,Tier 5,4,54,0,15188,12.6,250,382,Bludgeoning,,+15 Ice Damage,Decorated with jewels,72.9
315,Blessed Shoulders of Aegis,Armor,48,Common,Tier 5,4,0,32,3600,11.8,215,313,,Heavy,+50 Mana,Legendary artifact of power,32
316,Arcane Greatsword,Weapon,8,Common,Tier 1,1,10,0,40,2.3,95,138,Bludgeoning,,Attack Speed +10%,Fitted for comfort,10
317,Studded Vest,Armor,16,Uncommon,Tier 2,1.5,0,14,320,4.8,183,215,,Light,Movement Speed +15%,Crafted with care,16.1
318,Mythril Pants,Armor,30,Common,Tier 3,2.2,0,18,600,6.9,160,242,,Medium,+25 Health,Holds mysterious power,18
319,Mythril Vambraces,Armor,25,Uncommon,Tier 3,2.2,0,20,1000,7,217,239,,Light,+100 Health,Recovered from a great battle,23
320,Dragon Scale Shoulders,Armor,30,Uncommon,Tier 3,2.2,0,20,1200,7.4,260,290,,Light,Aura: +5 Defense to Allies,A reliable piece of equipment,23
321,Iron Shoulders of the Titan,Armor,46,Uncommon,Tier 5,4,0,37,6900,12.9,271,348,,Medium,Mana Regen +5,Forged in dragon fire,42.6
322,Imperial Leggings,Armor,23,Common,Tier 3,2.2,0,18,460,6.3,135,171,,Heavy,+50 Mana,Legendary artifact of power,18
323,Spectral Wand,Weapon,29,Common,Tier 3,2.2,22,0,580,6.2,156,202,Bludgeoning,,+10 Lightning Damage,Crafted with care,22
324,Dragon Scale Helm of Absorption,Armor,19,Epic,Tier 2,1.5,0,19,1900,6.3,280,397,,Medium,Poison Resist 25%,Masterwork quality,30.4
325,Enchanted Battleaxe,Weapon,43,Common,Tier 5,4,40,0,3225,10.3,185,296,Piercing,,,Blessed by the gods,40
326,Toxic Stiletto,Weapon,39,Common,Tier 4,3,30,0,1560,8.4,193,265,Bludgeoning,,Attack Speed +15%,Legendary artifact of power,30
327,Steel Leggings of Stone,Armor,31,Legendary,Tier 4,3,0,48,31000,14.5,524,570,,Heavy,Block Chance +15%,Surprisingly sturdy,96
328,Toxic Stiletto,Weapon,13,Common,Tier 2,1.5,15,0,130,3.6,121,133,Bludgeoning,,Stun Chance 10%,Surprisingly sturdy,15
329,Crystal Shield,Armor,8,Common,Tier 1,1,0,8,40,2.6,97,118,,Medium,+1 All Stats,Once wielded by a hero,8
330,Cursed Hood,Armor,7,Rare,Tier 1,1,0,11,158,3.3,225,245,,Medium,Lightning Resist 25%,Surprisingly lightweight,14.9
331,Royal Bracers of Iron Will,Armor,38,Epic,Tier 4,3,0,38,15200,12.5,349,480,,Light,+10 Mana,Fitted for comfort,60.8
332,Obsidian Club of Destruction,Weapon,7,Epic,Tier 1,1,16,0,350,3.1,301,330,Slashing,,Critical +15%,Decorated with jewels,25.6
333,Flame Bow,Weapon,5,Uncommon,Tier 1,1,12,0,50,2.3,120,134,Slashing,,Vampiric,Whispers of ancient magic,13.8
334,Demon Katana,Weapon,45,Rare,Tier 5,4,54,0,15188,12.6,374,415,Slashing,,Extra Damage vs Dragons,Legendary artifact of power,72.9
335,Iron Cap,Armor,44,Uncommon,Tier 5,4,0,37,6600,12.8,331,347,,Medium,+2 All Stats,Crafted by master artisans,42.6
336,Cursed Lance,Weapon,27,Common,Tier 3,2.2,22,0,540,6,177,231,Bludgeoning,,+25 Health on Kill,Simple but effective,22
337,Phantom Hatchet of Valor,Weapon,8,Common,Tier 1,1,10,0,40,2.3,72,108,Slashing,,Splash Damage,Recovered from a great battle,10
338,Enchanted Spear of Light,Weapon,11,Rare,Tier 2,1.5,20,0,495,4.1,201,236,Slashing,,,Surprisingly sturdy,27
339,Thunder Shortsword of Glory,Weapon,31,Uncommon,Tier 4,3,35,0,2480,8.4,221,261,Piercing,,,Fitted for comfort,40.3
340,Worn Robe of Protection,Armor,22,Epic,Tier 3,2.2,0,28,4400,8.8,374,439,,Medium,Dodge +10%,Crafted with care,44.8
341,Iron Katana,Weapon,36,Common,Tier 4,3,30,0,1440,8.1,270,277,Bludgeoning,,+25 Health on Kill,Simple but effective,30
342,Spectral Pants,Armor,43,Common,Tier 5,4,0,32,3225,11.4,221,315,,Light,Immune to Stun,Battle-tested and true,32
343,Eternal Pants,Armor,50,Legendary,Tier 5,4,0,64,93750,20,386,606,,Light,,Forged in dragon fire,128
344,Celestial Hatchet of Fire,Weapon,49,Epic,Tier 5,4,64,0,36750,14.5,418,519,Slashing,,Knockback,Crafted with care,102.4
345,Silver Longbow of Life,Weapon,45,Uncommon,Tier 5,4,46,0,6750,11.4,303,340,Bludgeoning,,Attack Speed +5%,Forged by skilled hands,52.9
346,Cursed Hood,Armor,13,Uncommon,Tier 2,1.5,0,14,260,4.5,123,205,,Heavy,Dodge +10%,Simple but effective,16.1
347,Steel War Axe,Weapon,48,Common,Tier 5,4,40,0,3600,10.8,202,312,Bludgeoning,,Soul Eater,Recovered from a great battle,40
348,Blessed Pants,Armor,11,Common,Tier 2,1.5,0,12,110,3.9,94,112,,Medium,,Found in ancient ruins,12
349,Holy Bow,Weapon,42,Rare,Tier 5,4,54,0,14175,12.3,338,363,Slashing,,+5 Fire Damage,Imbued with magical energy,72.9
350,Phantom Club of Order,Weapon,13,Uncommon,Tier 2,1.5,17,0,260,3.9,144,183,Slashing,,+20 Fire Damage,Perfectly balanced,19.6
351,Ancient Trident,Weapon,37,Uncommon,Tier 4,3,35,0,2960,9,251,322,Piercing,,+50 Mana on Kill,Shows signs of age,40.3
352,Toxic Dirk,Weapon,38,Common,Tier 4,3,30,0,1520,8.3,212,256,Slashing,,Lifesteal 10%,Found in ancient ruins,30
353,Steel Spear,Weapon,14,Rare,Tier 2,1.5,20,0,630,4.4,290,320,Bludgeoning,,Soul Eater,Marked with runes,27
354,Dragon Scale Vambraces,Armor,23,Rare,Tier 3,2.2,0,24,2070,7.8,181,279,,Light,Mana Regen +10,Simple but effective,32.4
355,Adamant Morning Star,Weapon,17,Common,Tier 2,1.5,15,0,170,4,134,154,Piercing,,Double Strike 5%,Recovered from a great battle,15
356,Thunder Shortbow,Weapon,30,Uncommon,Tier 3,2.2,25,0,1200,6.8,255,292,Piercing,,Armor Penetration +10%,Resistant to corrosion,28.8
357,Ancient Battleaxe of the Defender,Weapon,47,Common,Tier 5,4,40,0,3525,10.7,243,296,Slashing,,+10 Poison Damage,Glows with inner light,40
358,Chain Tunic,Armor,33,Rare,Tier 4,3,0,32,5940,10.6,369,389,,Heavy,Dodge +5%,Once wielded by a hero,43.2
359,Dark Halberd,Weapon,31,Uncommon,Tier 4,3,35,0,2480,8.4,160,268,Piercing,,Splash Damage,Crafted by master artisans,40.3
360,Soulrender,Weapon,44,Legendary,Tier 5,4,80,0,82500,16.4,407,658,Slashing,,+5 Poison Damage,Blessed by the gods,160
361,Mythril Circlet of Defense,Armor,20,Common,Tier 2,1.5,0,12,200,4.6,136,154,,Light,+25 Mana,Never dulls,12
362,Toxic Scepter of Death,Weapon,43,Uncommon,Tier 5,4,46,0,6450,11.2,227,354,Slashing,,+10 Poison Damage,Whispers of ancient magic,52.9
363,Demon Hide Leggings of Vitality,Armor,42,Epic,Tier 5,4,0,51,31500,16.1,376,547,,Light,Fire Resist 50%,Bears a royal crest,81.6
364,Crystal Bow of Life,Weapon,11,Rare,Tier 2,1.5,20,0,495,4.1,194,226,Bludgeoning,,,Fitted for comfort,27
365,Hide Leggings,Armor,12,Common,Tier 2,1.5,0,12,120,4,101,143,,Light,Ice Resist 50%,Masterwork quality,12
366,Dragon Rod of the Slayer,Weapon,14,Epic,Tier 2,1.5,24,0,1400,5,334,392,Slashing,,+15 Fire Damage,Legendary artifact of power,38.4
367,Demon Hide Crown,Armor,40,Common,Tier 4,3,0,24,1600,9.2,196,261,,Light,Reflect 10%,Fitted for comfort,24
368,Arcane Pauldrons,Armor,33,Rare,Tier 4,3,0,32,5940,10.6,328,391,,Heavy,,Recovered from a great battle,43.2
369,Obsidian Shortbow,Weapon,2,Common,Tier 1,1,10,0,10,1.7,99,107,Slashing,,Double Strike 5%,Decorated with jewels,10
370,Holy Sword of the Slayer,Weapon,35,Common,Tier 4,3,30,0,1400,8,176,231,Slashing,,+50 Mana on Kill,Once wielded by a hero,30
371,Chain Shield,Armor,2,Common,Tier 1,1,0,8,10,2.2,71,93,,Light,Lightning Resist 25%,Rumored to be cursed,8
372,Golden Warhammer,Weapon,35,Uncommon,Tier 4,3,35,0,2800,8.8,229,320,Piercing,,+50 Mana on Kill,Rumored to be cursed,40.3
373,Blessed Cloak,Armor,41,Common,Tier 5,4,0,32,3075,11.3,239,287,,Medium,+25 Health,Marked with runes,32
374,Ancient Trident,Weapon,1,Rare,Tier 1,1,14,0,23,2.2,185,209,Slashing,,Banishes Undead,Resistant to corrosion,18.9
375,Elven War Axe of Life,Weapon,19,Common,Tier 2,1.5,15,0,190,4.2,135,170,Slashing,,+15 Lightning Damage,Crafted with care,15
376,Dragon Scale Helmet,Armor,30,Common,Tier 3,2.2,0,18,600,6.9,150,223,,Heavy,+50 Mana,Crafted by master artisans,18
377,Spectral Spear,Weapon,46,Common,Tier 5,4,40,0,3450,10.6,283,320,Bludgeoning,,Double Strike 5%,Rumored to be cursed,40
378,Dragon Crossbow,Weapon,29,Common,Tier 3,2.2,22,0,580,6.2,178,227,Piercing,,Bleed Damage,Recently reforged,22
379,Iron Boots,Armor,17,Common,Tier 2,1.5,0,12,170,4.4,129,164,,Light,Thorns Damage,Fitted for comfort,12
